,Terrain Type,Number Of Steps
0,1,3781
1,1,1074
2,1,3443
3,1,780
4,1,1401
5,1,584
6,1,240
7,1,5371
8,1,6218
9,1,2892
10,1,6521
11,1,2430
12,1,2180
13,1,3518
14,1,3914
15,1,1417
16,1,8148
17,1,1002
18,1,16995
19,1,838
20,1,9503
21,1,2968
22,1,24689
23,1,2072
24,1,2123
25,1,20292
26,1,1396
27,1,7049
28,1,1978
29,1,1005
30,1,24374
31,1,7546
32,1,1420
33,1,4995
34,1,418
35,1,5070
36,1,4074
37,1,4103
38,1,1235
39,1,20913
40,1,11088
41,1,4116
42,1,6472
43,1,798
44,1,2672
45,1,9020
46,1,3612
47,1,483
48,1,2133
49,1,9867
50,1,3686
51,1,1849
52,1,5965
53,1,2484
54,1,27763
55,1,21963
56,1,1959
57,1,4279
58,1,8026
59,1,8714
60,1,1411
61,1,4647
62,1,5532
63,1,37514
64,1,4884
65,1,495
66,1,25763
67,1,5888
68,1,11277
69,1,4702
70,1,626
71,1,44098
72,1,3106
73,1,4861
74,1,5547
75,1,5935
76,1,1405
77,1,1474
78,1,5758
79,1,5949
80,1,8418
81,1,10156
82,1,7994
83,1,1794
84,1,2650
85,1,8714
86,1,5849
87,1,2684
88,1,6593
89,1,750
90,1,9020
91,1,135
92,1,2192
93,1,3545
94,1,1212
95,1,226
96,1,3903
97,1,2970
98,1,2825
99,1,5016
100,2,2911
101,2,12005
102,2,2060
103,2,8278
104,2,6574
105,2,4148
106,2,15134
107,2,6779
108,2,2080
109,2,2810
110,2,12686
111,2,21414
112,2,27947
113,2,3378
114,2,3034
115,2,2585
116,2,14645
117,2,895
118,2,7317
119,2,148
120,2,3695
121,2,14889
122,2,5698
123,2,8063
124,2,6696
125,2,9007
126,2,17486
127,2,1036
128,2,4302
129,2,16166
130,2,5550
131,2,2247
132,2,16134
133,2,14488
134,2,4550
135,2,12045
136,2,1052
137,2,1870
138,2,5187
139,2,5390
140,2,198
141,2,34657
142,2,8068
143,2,9200
144,2,12217
145,2,14514
146,2,895
147,2,14449
148,2,1119
149,2,2976
150,2,48
151,2,8248
152,2,32521
153,2,331
154,2,11178
155,2,4361
156,2,2908
157,2,3859
158,2,31595
159,2,4002
160,2,10184
161,2,1164
162,2,35516
163,2,17420
164,2,8915
165,2,2928
166,2,2092
167,2,11680
168,2,6233
169,2,3364
170,2,3290
171,2,2445
172,2,6351
173,2,1624
174,2,15091
175,2,27152
176,2,7027
177,2,3206
178,2,7195
179,2,17109
180,2,15072
181,2,10491
182,2,1813
183,2,3561
184,2,20277
185,2,15322
186,2,2528
187,2,1521
188,2,25071
189,2,6877
190,2,2243
191,2,13442
192,2,2540
193,2,2843
194,2,6938
195,2,6151
196,2,17581
197,2,3312
198,2,26023
199,2,3719
200,3,1204
201,3,4449
202,3,24952
203,3,37550
204,3,14795
205,3,6131
206,3,5295
207,3,37185
208,3,4339
209,3,393
210,3,23966
211,3,37882
212,3,4539
213,3,1542
214,3,7601
215,3,8722
216,3,35835
217,3,22549
218,3,23327
219,3,1686
220,3,18836
221,3,19111
222,3,32144
223,3,63019
224,3,19847
225,3,708
226,3,13231
227,3,4492
228,3,43746
229,3,9595
230,3,14285
231,3,4626
232,3,5147
233,3,16293
234,3,7295
235,3,15182
236,3,12319
237,3,2613
238,3,28813
239,3,54992
240,3,89647
241,3,81222
242,3,70887
243,3,65374
244,3,16546
245,3,10504
246,3,9684
247,3,12038
248,3,36472
249,3,4070
250,3,13439
251,3,5550
252,3,39786
253,3,21690
254,3,4311
255,3,26792
256,3,4773
257,3,4727
258,3,16172
259,3,37924
260,3,726
261,3,1967
262,3,122
263,3,45704
264,3,53314
265,3,4047
266,3,56179
267,3,14394
268,3,4681
269,3,1943
270,3,2394
271,3,18301
272,3,18570
273,3,14965
274,3,18548
275,3,40105
276,3,22181
277,3,78921
278,3,14112
279,3,14266
280,3,15961
281,3,77199
282,3,13212
283,3,44356
284,3,17757
285,3,834
286,3,86053
287,3,86561
288,3,1601
289,3,21897
290,3,15891
291,3,6332
292,3,30185
293,3,15098
294,3,25441
295,3,1509
296,3,87244
297,3,21336
298,3,2723
299,3,58455
300,4,6442
301,4,4552
302,4,7378
303,4,17473
304,4,25203
305,4,16234
306,4,8188
307,4,3638
308,4,4147
309,4,4140
310,4,4657
311,4,4288
312,4,9037
313,4,6566
314,4,6405
315,4,20097
316,4,12396
317,4,8264
318,4,8327
319,4,7944
320,4,9131
321,4,4436
322,4,6298
323,4,5274
324,4,5932
325,4,4536
326,4,1820
327,4,5855
328,4,23745
329,4,1199
330,4,2935
331,4,8477
332,4,31493
333,4,14792
334,4,13367
335,4,863
336,4,20874
337,4,28851
338,4,11360
339,4,3969
340,4,9212
341,4,8158
342,4,8612
343,4,850
344,4,11849
345,4,9853
346,4,8457
347,4,26486
348,4,24634
349,4,17267
350,4,9886
351,4,12983
352,4,8229
353,4,15926
354,4,4851
355,4,14947
356,4,5385
357,4,11728
358,4,1149
359,4,4034
360,4,12386
361,4,5322
362,4,3799
363,4,6517
364,4,1380
365,4,900
366,4,11096
367,4,11598
368,4,28744
369,4,10508
370,4,850
371,4,2642
372,4,394
373,4,25793
374,4,19970
375,4,1920
376,4,1199
377,4,12812
378,4,7240
379,4,4204
380,4,26327
381,4,2987
382,4,7365
383,4,14338
384,4,4189
385,4,8228
386,4,13202
387,4,4744
388,4,27957
389,4,6845
390,4,35656
391,4,391
392,4,18601
393,4,8076
394,4,3311
395,4,5045
396,4,24970
397,4,3518
398,4,883
399,4,14444
