,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
0,10,0.1,64,43,1,0.03129005432128906
1,15,0.1,136,99,1,0.09372377395629883
2,20,0.1,200,169,1,0.10938882827758789
3,25,0.1,305,269,1,0.10938739776611328
4,50,0.1,1305,1005,1,0.5312857627868652
5,75,0.1,2602,2281,1,0.9218995571136475
6,100,0.1,4924,4007,1,1.734527826309204
7,200,0.1,18690,16701,1,6.88095498085022
8,10,0.2,61,35,1,0.0
9,15,0.2,145,49,1,0.07813239097595215
10,20,0.2,202,169,1,0.06250691413879395
11,25,0.2,305,227,1,0.1562666893005371
12,50,0.2,920,667,1,0.4219202995300293
13,75,0.2,2969,1833,1,1.203188419342041
14,100,0.2,4797,3449,1,1.9533460140228271
15,200,0.2,17223,12653,1,7.198451042175293
16,10,0.3,34,19,1,0.015626907348632812
17,15,0.3,1,0,0,0.0
18,20,0.3,2,0,0,0.0
19,25,0.3,313,99,1,0.14063811302185059
20,50,0.3,2,0,0,0.015585899353027344
21,75,0.3,2,0,0,0.0
22,100,0.3,4953,1917,1,2.166775703430176
23,200,0.3,1,0,0,0.07813334465026855
